Sequence_ID,Direction,Sender,Recipient,Packet_Type,Transmission_Timestamp
1827,DOWNLINK,0,"12,",CNTRL-CTS,0.0025757838308535486
1828,UPLINK,12,0,DATA-ULDATA,0.0025757838308535486
1829,DOWNLINK,0,"12,",CNTRL-ACK,0.0025775154224832253
1888,DOWNLINK,0,"19,",CNTRL-CTA,0.0026310215900273905
1889,UPLINK,19,0,CNTRL-RTS,0.0026310610596464706
1890,DOWNLINK,0,"19,",CNTRL-CTS,0.002631944110157463
1891,UPLINK,19,0,DATA-ULDATA,0.002631944110157463
1892,DOWNLINK,0,"19,",CNTRL-ACK,0.0026336757017871395
1939,DOWNLINK,0,"9,22,",CNTRL-CTA,0.002676111627770443
1940,UPLINK,22,0,CNTRL-RTS,0.002676126114806709
1941,DOWNLINK,0,"22,",CNTRL-CTS,0.002677034147900515
1942,UPLINK,22,0,DATA-ULDATA,0.002677034147900515
1943,DOWNLINK,0,"22,",CNTRL-ACK,0.002678765739530192
1970,DOWNLINK,0,"5,27,",CNTRL-CTA,0.002702751262912059
1971,UPLINK,27,0,CNTRL-RTS,0.0027027834114083833
1972,DOWNLINK,0,"27,",CNTRL-CTS,0.0027036737830421313
1973,UPLINK,27,0,DATA-ULDATA,0.0027036737830421313
1974,DOWNLINK,0,"27,",CNTRL-ACK,0.002705405374671808
1999,DOWNLINK,0,"24,",CNTRL-CTA,0.0027275458577935316
2000,UPLINK,24,0,CNTRL-RTS,0.002727597803377274
2001,DOWNLINK,0,"24,",CNTRL-CTS,0.002728468377923604
2002,UPLINK,24,0,DATA-ULDATA,0.002728468377923604
2003,DOWNLINK,0,"24,",CNTRL-ACK,0.0027301999695532805
2009,DOWNLINK,0,"5,27,",CNTRL-CTA,0.0027348125702036396
2010,UPLINK,5,0,CNTRL-RTS,0.0027348268664368625
2011,DOWNLINK,0,"5,",CNTRL-CTS,0.002735735090333712
2012,UPLINK,5,0,DATA-ULDATA,0.002735735090333712
2013,DOWNLINK,0,"5,",CNTRL-ACK,0.0027374666819633886
2057,DOWNLINK,0,"4,",CNTRL-CTA,0.0027771350475564766
2058,UPLINK,4,0,CNTRL-RTS,0.0027771674836568772
2059,DOWNLINK,0,"4,",CNTRL-CTS,0.002778057567686549
2060,UPLINK,4,0,DATA-ULDATA,0.002778057567686549
2061,DOWNLINK,0,"4,",CNTRL-ACK,0.0027797891593162255
2075,DOWNLINK,0,"15,26,",CNTRL-CTA,0.002791781921007159
2076,UPLINK,26,0,CNTRL-RTS,0.00279179436703138
2077,DOWNLINK,0,"26,",CNTRL-CTS,0.0027927044411372314
2078,UPLINK,26,0,DATA-ULDATA,0.0027927044411372314
2079,DOWNLINK,0,"26,",CNTRL-ACK,0.002794436032766908
2224,DOWNLINK,0,"23,",CNTRL-CTA,0.0029272789314972493
2225,UPLINK,23,0,CNTRL-RTS,0.002927333595660606
2226,DOWNLINK,0,"23,",CNTRL-CTS,0.0029282014516273215
